Artnr 20201031 20201102 20201110
12101 1,39 1,39 1,39
12107 1,59 1,59 1,59
12119 1,59 1,59 1,59
12124 2,09 2,09 2,09
20137 9,38 9,38 9,38
20182 1,27 1,27 1,27
20195 1,05 1,05 1,05
20213 1,05 1,05 1,05
20272 1,05 1,05 1,05
20421 0 1,95 1,95
20503 1,39 1,39 1,39
20504 0 0,93 0,93
20511 0 1,99 1,99
20553 2,49 2,49 2,49
20554 2,49 2,49 2,49
20574 0 1,94 1,94
20585 0 1,19 1,19
20727 0 2,35 2,35
20778 1,18 1,18 1,18
20780 1,18 1,18 1,18
20782 1,18 1,18 1,18
20805 2,19 2,19 2,19
20807 0 2,99 2,99
20810 2,29 2,29 2,29
20813 3,89 3,89 3,89
20814 3,09 3,09 3,09
21002 2 2 2
21049 1,94 1,94 1,94
21104 4,99 4,99 4,99
21116 11,95 11,95 11,95
21121 0 4,69 4,69
21164 0 6,12 6,12
21201 10,32 10,32 10,32
21274 8,99 8,99 8,99
21283 12,65 12,65 12,65
21322 10,14 10,14 10,14
21335 2,99 2,99 2,99
21360 6,55 6,55 6,55
21634 3,79 3,79 3,79
21650 2,39 2,39 2,39
21711 0,45 0,45 0,45
21736 0 6,97 6,97
21961 1,49 1,49 1,49
22236 2,25 2,25 2,25
22237 2,25 2,25 2,25
22251 5,8 5,8 5,8
22267 5,89 5,89 5,89
22270 2,25 2,25 2,25
22298 0  
22434 0 21,9 19,9
22479 8,65 8,65 6,9
22539 3,49 3,49 3,49
22808 2,29 2,29 2,29
22839 0 7,6 7,6
22846 0 2,12 2,12
22907 0 3,56 3,56
23624 2,65 2,65 2,65
34003 3,49 3,49 3,49
34012 0 4,79 4,79
40317 5,79 5,79 5,79
40343 11,9 11,9 11,9
40442 3,4 3,4 3,4
40445 3,5 3,5 3,5
40508 1,78 1,78 1,78
40516 2,39 2,39 2,39
40529 1,75 1,75 1,75
40547 7,09 7,09 7,09
40558 2,69 2,69 2,69
40559 2,99 2,99 2,99
40569 3,09 3,09 3,09
40591 3,25 3,25 3,25
40617 13,25 13,25 13,25
40621 46,35 46,35 46,35
40629 11,61 11,61 11,61
40659 0 20,39 20,39
40660 5,09 5,09 5,09
40680 19,69 19,69 19,69
40698 0 26,29 23,79
40788 11,3 11,3 11,3
40800 3,19 3,19 3,19
40801 2,75 2,75 2,75
40808 4,18 4,18 4,18
40814 5,18 5,18 5,18
40874 0 11,29 11,29
40875 7,19 7,19 7,19
41187 7,1 7,1 7,1
42504 4,05 4,05 4,05
42507 9,45 9,45 9,45
42513 5,98 5,98 5,98
42641 15,7 15,7 15,7
42664 3,29 3,29 3,29
42666 4,69 4,69 4,99
42712 0,75 0,75 0,82
43017 20,39 20,39 20,39
43020 16,55 16,55 16,55
45825 1,78 1,78 1,78
45834 2,07 2,07 2,3
48021 2,99 2,99 2,99
72438 17,8 17,8 17,8
76958 17,98 17,98 17,98
91342 3,88 3,88 3,88
